screen_year,investment_year,n_investable,n_assets_in_cov,n_dropped_missing,max_weight
2013,2014,771,771,0,0.11609104755585979
2014,2015,811,811,0,0.13249197560791767
2015,2016,862,862,0,0.12128709420600502
2016,2017,895,895,0,0.13799140500836066
2017,2018,931,931,0,0.11398508316125178
2018,2019,984,984,0,0.12080388296747072
2019,2020,1073,1073,0,0.06815185665842179
2020,2021,1115,1115,0,0.1274233175250805
2021,2022,1148,1148,0,0.09228624929524576
2022,2023,1147,1147,0,0.09185694665115354
2023,2024,1136,1136,0,0.11467074452785359
2024,2025,1120,1120,0,0.11404326821545878
